,bpd,committee_size,extension,latency,minerblocksize
322,86.0,4.0,syncorazor,5.0,60.0
323,71.0,4.0,syncorazor,5.0,60.0
324,70.0,4.0,syncorazor,5.0,60.0
325,86.0,4.0,syncorazor,5.0,60.0
326,74.0,4.0,syncorazor,5.0,60.0
327,70.0,4.0,syncorazor,5.0,60.0
328,87.0,4.0,syncorazor,5.0,60.0
329,74.0,4.0,syncorazor,5.0,60.0
330,70.0,4.0,syncorazor,5.0,60.0
331,86.0,4.0,syncorazor,5.0,60.0
332,73.0,4.0,syncorazor,5.0,60.0
333,70.0,4.0,syncorazor,5.0,60.0
334,86.0,4.0,syncorazor,5.0,60.0
335,73.0,4.0,syncorazor,5.0,60.0
336,70.0,4.0,syncorazor,5.0,60.0
337,86.0,4.0,syncorazor,5.0,60.0
338,74.0,4.0,syncorazor,5.0,60.0
339,70.0,4.0,syncorazor,5.0,60.0
340,86.0,4.0,syncorazor,5.0,60.0
341,72.0,4.0,syncorazor,5.0,60.0
342,70.0,4.0,syncorazor,5.0,60.0
343,86.0,4.0,syncorazor,5.0,60.0
344,73.0,4.0,syncorazor,5.0,60.0
345,70.0,4.0,syncorazor,5.0,60.0
346,86.0,4.0,syncorazor,5.0,60.0
347,73.0,4.0,syncorazor,5.0,60.0
348,70.0,4.0,syncorazor,5.0,60.0
349,86.0,4.0,syncorazor,5.0,60.0
350,73.0,4.0,syncorazor,5.0,60.0
351,70.0,4.0,syncorazor,5.0,60.0
352,87.0,4.0,syncorazor,5.0,60.0
353,73.0,4.0,syncorazor,5.0,60.0
354,70.0,4.0,syncorazor,5.0,60.0
355,87.0,4.0,syncorazor,5.0,60.0
356,73.0,4.0,syncorazor,5.0,60.0
357,70.0,4.0,syncorazor,5.0,60.0
358,86.0,4.0,syncorazor,5.0,60.0
359,73.0,4.0,syncorazor,5.0,60.0
360,70.0,4.0,syncorazor,5.0,60.0
361,87.0,4.0,syncorazor,5.0,60.0
362,72.0,4.0,syncorazor,5.0,60.0
363,69.0,4.0,syncorazor,5.0,60.0
364,87.0,4.0,syncorazor,5.0,60.0
365,73.0,4.0,syncorazor,5.0,60.0
366,71.0,4.0,syncorazor,5.0,60.0
367,86.0,4.0,syncorazor,5.0,60.0
368,72.0,4.0,syncorazor,5.0,60.0
369,70.0,4.0,syncorazor,5.0,60.0
370,116.0,8.0,syncorazor,5.0,10.0
371,66.0,8.0,syncorazor,5.0,10.0
372,36.0,8.0,syncorazor,5.0,10.0
373,131.0,8.0,syncorazor,5.0,10.0
374,39.0,8.0,syncorazor,5.0,10.0
375,61.0,8.0,syncorazor,5.0,10.0
376,102.0,8.0,syncorazor,5.0,10.0
377,115.0,8.0,syncorazor,5.0,10.0
378,67.0,8.0,syncorazor,5.0,10.0
379,35.0,8.0,syncorazor,5.0,10.0
380,130.0,8.0,syncorazor,5.0,10.0
381,37.0,8.0,syncorazor,5.0,10.0
382,61.0,8.0,syncorazor,5.0,10.0
383,102.0,8.0,syncorazor,5.0,10.0
384,115.0,8.0,syncorazor,5.0,10.0
385,67.0,8.0,syncorazor,5.0,10.0
386,36.0,8.0,syncorazor,5.0,10.0
387,129.0,8.0,syncorazor,5.0,10.0
388,39.0,8.0,syncorazor,5.0,10.0
389,62.0,8.0,syncorazor,5.0,10.0
390,102.0,8.0,syncorazor,5.0,10.0
391,116.0,8.0,syncorazor,5.0,10.0
